#IC86events[1/year]	sigpSI[pb]	sigpSD[pb]	sig*v[cm^3/s]	mdm[GeV]	DM[Fermion|Scalar]
2.8593e-07 1.0246e-12 0.0000e+00 4.5797e-26 2.0589e+03 S
1.0063e-09 5.6701e-14 0.0000e+00 4.8520e-26 1.9970e+03 S
5.7412e-06 2.0776e-12 4.7608e-09 8.0635e-27 1.1327e+03 F
6.9937e-20 3.2618e-19 3.0374e-16 8.8112e-27 1.0827e+03 F
4.1050e+02 1.6486e-08 1.2600e-03 4.0367e-27 1.5849e+02 F
1.3000e-02 6.7418e-10 0.0000e+00 6.5756e-26 2.6850e+03 S
5.0778e+01 1.0239e-08 3.0109e-03 5.4333e-28 7.6757e+01 F
2.1096e+00 1.1830e-08 2.3511e-05 1.8094e-26 1.0628e+03 F
1.2526e-08 9.9245e-14 0.0000e+00 9.3023e-26 1.4388e+03 S
1.2535e+01 3.2986e-09 8.1546e-05 1.8636e-26 2.9385e+02 F
6.0576e-02 2.7599e-09 1.1762e-06 1.0931e-28 1.8331e+02 F
1.2720e+01 7.2948e-09 8.9074e-05 2.3036e-26 4.2169e+02 F
4.9985e+01 9.6745e-09 2.8195e-03 5.0839e-28 7.9146e+01 F
3.2036e-11 3.9232e-15 1.3251e-11 7.7987e-27 1.1515e+03 F
5.9503e+01 1.1803e-08 3.3991e-03 6.1307e-28 7.8506e+01 F
7.9927e-03 4.9509e-10 0.0000e+00 5.1652e-26 2.8895e+03 S
5.9446e-09 1.5566e-13 6.4632e-11 6.9555e-27 1.2198e+03 F
5.9161e-17 1.5792e-17 1.7273e-16 8.6486e-27 1.0930e+03 F
4.7992e-08 3.5732e-13 0.0000e+00 5.2800e-26 1.9137e+03 S
1.8776e+02 4.6939e-09 2.1953e-03 5.3052e-27 8.4599e+01 F
3.5013e-03 2.2747e-10 0.0000e+00 4.9562e-26 2.3113e+03 S
3.8231e-10 7.6097e-15 5.0443e-11 8.2601e-27 1.1184e+03 F
3.8948e+01 6.6213e-09 2.2055e-03 3.9769e-28 7.8960e+01 F
6.5812e-07 1.3649e-12 0.0000e+00 5.1525e-26 1.9378e+03 S
1.2437e+01 1.3626e-09 8.6639e-05 2.2352e-26 3.8138e+02 F
2.8219e+02 2.5080e-08 2.4785e-03 1.8744e-27 9.4853e+01 F
2.2346e-08 7.4177e-16 4.9659e-10 7.8415e-27 1.1477e+03 F
1.6423e-02 2.0009e-11 4.7390e-07 4.7696e-28 2.6558e+02 F
6.9358e-10 4.9521e-14 0.0000e+00 4.6367e-26 2.0437e+03 S
1.1084e+00 3.0214e-10 1.0267e-05 1.3725e-27 1.9696e+02 F
3.5617e-07 1.0847e-12 0.0000e+00 4.7969e-26 2.0087e+03 S
1.6181e+01 2.6745e-10 1.0803e-04 2.5097e-26 2.9925e+02 F
1.3576e-16 2.3502e-18 3.1278e-14 8.6833e-27 1.0908e+03 F
6.3361e-02 2.4177e-11 1.4076e-06 8.7056e-27 1.1438e+03 F
4.9739e-12 1.9760e-15 5.1371e-10 1.7756e-31 2.7551e+02 F
7.9113e+00 8.7766e-08 8.9305e-03 1.7024e-27 1.7132e+01 F
1.9219e-05 3.5592e-12 7.3733e-09 9.1046e-27 1.0652e+03 F
1.8190e-03 6.2230e-10 2.4637e-07 6.7684e-29 7.1337e+02 F
6.7090e+01 2.8223e-08 1.8919e-04 2.1195e-27 1.6119e+02 F
1.9719e+01 3.0239e-09 1.8431e-04 2.0504e-26 1.8829e+02 F
1.6360e+00 2.0749e-09 2.5519e-06 1.0179e-26 1.9224e+02 F
2.9595e-07 8.9466e-13 0.0000e+00 5.2582e-26 1.9203e+03 S
3.6368e+02 1.5994e-08 1.1172e-03 3.3690e-27 1.5903e+02 F
7.1398e-05 7.7734e-12 1.1332e-08 9.7845e-27 1.0280e+03 F
1.1973e+01 7.0071e-10 8.2158e-05 1.7583e-26 2.6601e+02 F
1.2303e+01 2.6041e-09 8.5612e-05 1.7554e-26 2.5053e+02 F
1.3148e-08 5.3619e-14 2.9789e-10 7.9566e-27 1.1399e+03 F
2.4397e-07 8.7301e-13 0.0000e+00 4.9156e-26 1.9840e+03 S
2.8969e+01 9.0373e-09 3.1447e-04 7.9558e-27 8.4706e+01 F
6.8677e-02 3.1533e-10 8.8942e-07 1.0340e-26 1.0683e+03 F
2.9989e-13 4.0144e-16 1.3121e-12 7.5630e-27 1.1694e+03 F
2.2880e-09 8.3066e-14 0.0000e+00 4.9808e-26 1.9708e+03 S
5.2249e-07 7.6536e-13 1.3726e-09 7.6157e-27 1.1650e+03 F
4.8759e+01 8.8169e-09 2.8077e-03 5.0645e-28 7.8212e+01 F
6.4497e-03 4.6629e-11 1.7776e-07 1.0157e-26 1.0228e+03 F
1.0798e-08 1.6081e-13 0.0000e+00 5.5413e-26 1.8688e+03 S
4.1018e+01 7.2552e-09 2.5160e-03 4.5420e-28 7.5140e+01 F
1.1482e-04 2.2532e-11 0.0000e+00 4.5603e-26 2.0992e+03 S
2.1993e-10 2.5982e-14 5.0440e-12 8.9872e-27 1.0716e+03 F
3.3235e+01 6.7518e-09 1.8326e-03 3.3032e-28 8.0315e+01 F
3.4922e+02 9.4447e-09 3.5690e-03 1.9138e-27 9.3661e+01 F
5.4940e+01 8.7546e-09 3.4104e-03 6.1572e-28 7.4828e+01 F
5.2485e+01 9.8818e-09 3.0660e-03 5.5316e-28 7.7491e+01 F
6.5841e-07 3.1135e-13 1.6931e-09 9.7014e-27 1.0310e+03 F
6.3581e-11 1.3019e-14 0.0000e+00 5.2694e-26 1.9162e+03 S
9.0831e-01 4.8794e-09 1.0940e-05 1.1782e-26 1.1078e+03 F
8.8036e-08 2.4675e-13 1.9529e-10 1.3636e-26 8.6738e+02 F
5.3243e-05 1.1311e-11 0.0000e+00 5.8551e-26 1.8322e+03 S
3.5575e+01 6.7552e-09 2.2632e-03 4.0877e-28 7.3547e+01 F
1.3050e+02 7.7909e-09 2.3989e-03 1.1322e-27 8.1892e+01 F
3.7001e+02 1.3232e-08 1.2775e-03 3.1588e-27 1.3814e+02 F
3.9770e+02 1.4871e-08 1.2359e-03 2.9717e-27 1.5663e+02 F
1.7114e+02 4.0768e-09 9.1887e-04 1.5241e-26 1.0514e+02 F
6.5135e-06 4.7886e-12 4.9965e-10 8.9185e-27 1.0748e+03 F
1.1998e-03 4.5402e-11 7.2086e-08 7.0327e-27 1.2081e+03 F
3.2211e-08 2.1457e-13 3.1546e-10 7.4914e-27 1.1750e+03 F
3.7038e-10 1.6536e-14 3.0664e-11 9.0876e-27 1.0660e+03 F
1.2300e-08 2.6721e-14 3.0592e-10 8.3508e-27 1.1124e+03 F
3.7492e-02 2.9613e-10 5.8513e-07 7.7344e-27 1.1682e+03 F
5.9015e-09 2.2437e-13 2.3484e-08 7.2403e-32 1.1310e+02 F
3.9025e+01 2.3849e-08 2.6055e-03 4.7104e-28 7.1268e+01 F
1.4314e+02 4.8265e-09 1.2709e-03 8.3443e-27 8.9350e+01 F
2.0550e-12 2.0399e-15 2.4367e-12 6.9775e-27 1.2179e+03 F
2.3189e-12 8.6076e-16 3.9693e-12 7.6322e-27 1.1640e+03 F
3.0311e-16 2.1440e-17 2.4875e-14 8.0915e-27 1.1303e+03 F
5.4770e+02 5.0552e-09 2.2330e-03 7.5133e-27 1.2183e+02 F
4.2338e+01 5.1108e-09 1.1762e-04 1.6711e-26 1.6647e+02 F
1.0287e-03 6.4595e-11 0.0000e+00 5.6021e-26 1.9171e+03 S
7.3285e+02 2.2929e-12 3.1328e-03 9.3733e-27 1.4431e+02 F
1.1768e-08 1.6270e-13 0.0000e+00 5.7050e-26 1.8416e+03 S
7.1746e+01 1.5099e-08 3.9234e-03 7.0712e-28 8.0744e+01 F
6.1142e-07 8.6520e-13 1.6871e-09 6.9943e-27 1.2157e+03 F
3.1363e+02 1.8279e-08 3.3009e-03 1.4966e-27 9.4899e+01 F
6.8559e+00 3.8436e-10 5.3308e-05 1.4735e-26 4.5895e+02 F
1.2578e+02 3.3658e-09 3.8247e-04 1.7846e-26 1.6172e+02 F
4.2827e+01 2.4227e-08 2.6084e-03 4.7090e-28 7.5353e+01 F
1.4165e-15 4.0333e-17 7.4303e-14 7.4188e-27 1.1809e+03 F
2.9639e-05 4.7205e-12 9.0653e-09 8.9256e-27 1.0744e+03 F
4.3552e+02 1.4749e-08 2.2614e-03 5.9058e-27 1.0870e+02 F
2.0668e-01 9.1381e-10 2.0800e-06 9.7468e-27 1.0228e+03 F
8.2615e-05 1.6236e-11 0.0000e+00 5.2139e-26 1.9510e+03 S
4.0524e-12 9.6968e-16 5.1479e-12 8.0001e-27 1.1368e+03 F
1.4530e-18 4.0753e-14 2.6543e-11 6.8780e-36 1.5593e+02 F
3.5104e+01 6.9754e-09 2.2409e-03 4.0477e-28 7.3385e+01 F
6.2658e-04 5.6972e-11 0.0000e+00 4.7360e-26 2.0915e+03 S
9.6933e-07 1.9173e-12 0.0000e+00 4.5225e-26 2.0698e+03 S
2.6744e+02 1.4299e-08 8.4083e-04 1.1993e-27 1.6777e+02 F
2.5609e-38 1.1369e-20 1.2119e-20 3.2680e-42 4.6541e+02 F
1.5664e+01 3.2014e-09 1.2431e-04 2.1165e-26 2.1691e+02 F
1.3428e+01 3.5171e-09 9.6610e-05 1.8545e-26 2.3638e+02 F
1.2941e+02 4.3190e-08 5.8895e-04 1.0076e-26 1.1128e+02 F
1.1205e-08 1.1201e-13 1.1438e-10 9.8340e-27 1.0242e+03 F
3.6549e+01 7.5263e-09 2.5012e-03 4.5227e-28 7.0415e+01 F
1.2001e-02 1.4171e-11 4.7178e-07 3.9825e-28 2.8818e+02 F
2.6301e+02 1.0990e-08 2.5075e-03 6.4509e-27 8.8495e+01 F
2.5129e-06 1.2989e-12 2.6350e-09 9.0854e-27 1.0666e+03 F
2.9792e-07 6.8130e-14 1.4144e-08 7.9908e-30 1.2765e+02 F
2.3203e-08 2.7787e-13 0.0000e+00 4.7672e-26 2.0146e+03 S
1.6827e-23 2.4529e-16 1.4663e-12 2.7467e-37 1.3554e+02 F
3.4044e-03 2.9561e-11 3.0520e-07 3.6998e-28 4.2838e+02 F
1.6258e-04 1.1542e-11 1.1697e-08 1.1730e-26 9.3614e+02 F
1.3593e-04 1.7018e-11 0.0000e+00 6.3776e-26 1.7503e+03 S
7.0071e-09 1.4561e-13 0.0000e+00 4.9767e-26 1.9726e+03 S
6.0650e+01 4.5894e-08 3.5608e-03 6.4250e-28 7.7049e+01 F
2.4077e-05 1.0050e-11 0.0000e+00 4.4831e-26 2.0982e+03 S
3.4637e-03 6.7595e-12 2.5078e-07 2.7999e-28 2.0656e+02 F
1.1655e+01 2.6955e-09 8.4922e-05 1.6180e-26 2.3514e+02 F
1.0733e+01 2.7801e-09 9.5038e-05 2.5515e-26 5.2939e+02 F
1.4139e-01 7.9494e-10 1.7986e-06 9.3590e-27 1.1542e+03 F
2.2514e+00 5.8027e-09 1.3252e-06 1.2784e-26 3.3961e+02 F
5.7480e-03 3.1481e-10 0.0000e+00 5.6433e-26 2.2029e+03 S
2.3896e-06 1.3385e-12 2.4503e-09 9.1040e-27 1.0643e+03 F
5.2073e-14 2.9071e-18 5.2447e-13 1.0895e-26 9.7268e+02 F
2.6957e-08 3.6766e-14 4.5260e-10 8.4162e-27 1.1079e+03 F
2.4749e+02 1.6998e-08 8.3104e-04 1.1602e-27 1.4882e+02 F
1.8520e+02 1.2521e-08 7.9688e-04 7.4248e-28 1.2706e+02 F
7.5636e-14 2.7690e-16 3.3108e-13 9.6574e-27 1.0338e+03 F
3.2056e-01 1.1134e-09 3.5851e-06 1.0143e-26 1.0148e+03 F
5.8074e+00 1.6551e-08 6.0647e-05 1.6707e-26 7.7776e+02 F
1.8578e-12 2.0560e-15 1.8646e-12 7.3559e-27 1.1859e+03 F
1.2118e+01 1.9452e-08 9.6743e-04 1.7558e-28 6.4123e+01 F
7.4296e-26 9.5478e-24 7.3463e-19 9.3404e-27 1.0513e+03 F
1.2096e-07 6.6477e-13 0.0000e+00 4.5772e-26 2.0564e+03 S
1.0146e+02 3.1559e-09 5.1560e-04 1.3869e-26 1.0735e+02 F
7.5907e-01 4.3872e-09 5.7806e-06 1.0241e-26 9.9686e+02 F
4.8477e+01 9.8393e-09 2.8042e-03 5.0580e-28 7.7975e+01 F
6.7819e-14 5.4877e-14 2.4225e-09 4.6192e-34 1.3974e+02 F
1.6036e-02 1.1748e-10 2.5201e-07 1.0653e-26 1.0160e+03 F
2.8899e+00 2.9369e-09 1.0413e-05 1.0253e-26 4.3493e+02 F
1.3581e-07 4.2460e-13 6.3376e-10 7.6938e-27 1.1581e+03 F
9.4923e-18 3.6554e-19 1.0522e-14 7.3272e-27 1.1883e+03 F
4.7320e-19 9.4051e-20 2.1425e-15 7.8771e-27 1.1457e+03 F
1.2902e+01 3.9423e-09 8.5428e-05 2.0916e-26 3.1774e+02 F
2.6732e+02 7.9533e-09 1.1658e-03 1.5389e-26 1.1655e+02 F
3.4485e-14 2.3390e-16 3.1012e-13 7.4778e-27 1.1761e+03 F
1.1829e-11 3.6085e-15 4.5317e-12 9.0944e-27 1.0656e+03 F
8.5335e-05 1.5182e-11 0.0000e+00 5.6023e-26 1.8690e+03 S
1.9792e-05 6.6627e-12 0.0000e+00 5.9054e-26 1.8128e+03 S
6.4563e-13 8.7208e-17 2.9021e-12 7.0053e-27 1.2155e+03 F
7.4633e+00 7.9752e-08 3.7656e-04 6.7885e-29 8.0483e+01 F
2.4680e-19 1.4286e-19 1.5100e-15 7.5762e-27 1.1684e+03 F
7.9576e-10 2.7019e-14 3.0316e-11 1.0400e-26 9.9578e+02 F
1.9971e-07 5.2542e-13 0.0000e+00 7.1726e-26 1.6402e+03 S
1.1469e-11 8.4492e-16 7.9097e-12 9.5034e-27 1.0422e+03 F
6.3070e+01 3.4039e-08 2.8133e-03 5.3577e-28 8.2702e+01 F
1.6227e+01 2.4797e-08 3.8690e-05 1.4052e-26 2.0594e+02 F
4.6430e-04 4.0708e-11 0.0000e+00 5.4855e-26 1.9300e+03 S
5.9205e-08 3.5421e-13 0.0000e+00 5.8717e-26 1.8155e+03 S
3.5043e+00 1.2785e-08 3.3640e-05 1.7284e-26 8.9010e+02 F
4.3278e-10 1.8920e-14 2.9225e-11 9.4514e-27 1.0451e+03 F
5.1886e+02 3.0620e-09 2.8416e-03 4.0466e-27 1.2154e+02 F
2.1353e+00 4.8769e-10 1.6983e-05 2.9069e-27 2.1825e+02 F
4.1585e+01 8.2810e-09 2.6473e-03 4.7816e-28 7.3513e+01 F
8.3513e-14 2.9666e-16 6.4009e-13 7.0930e-27 1.2079e+03 F
7.0228e-09 1.3015e-13 0.0000e+00 5.5219e-26 1.8720e+03 S
1.1145e+01 1.1747e-09 4.0651e-05 1.5986e-26 2.2692e+02 F
2.9262e-04 3.6541e-11 0.0000e+00 4.7418e-26 2.0806e+03 S
1.7108e+01 3.9814e-09 1.1261e-04 2.4147e-26 2.6174e+02 F
1.6412e+01 2.6810e-09 1.8062e-04 1.1435e-26 1.7796e+02 F
4.3492e-09 1.0996e-13 2.9587e-11 9.0305e-27 1.0692e+03 F
1.1295e-10 1.5103e-15 1.9616e-09 4.7843e-31 3.4789e+02 F
5.2559e+02 4.5600e-09 3.7135e-03 3.2292e-27 1.0131e+02 F
5.9786e+01 1.9755e-09 6.5212e-04 7.1013e-27 8.4949e+01 F
6.3600e-08 3.1341e-13 0.0000e+00 6.8060e-26 1.6853e+03 S
4.0096e+01 1.7859e-09 1.2737e-04 1.8733e-26 1.7438e+02 F
3.1604e+01 4.4721e-09 2.1299e-03 3.8507e-28 7.1097e+01 F
7.7379e-10 3.4672e-14 4.9966e-11 7.2699e-27 1.1930e+03 F
1.3043e-08 1.2972e-13 2.2202e-10 7.2967e-27 1.1906e+03 F
4.1207e-10 3.4728e-14 0.0000e+00 5.0486e-26 1.9575e+03 S
5.9944e+00 3.2917e-08 6.9141e-05 2.3059e-26 1.0037e+03 F
1.0118e-07 1.3349e-12 1.8411e-08 4.6321e-30 3.8888e+02 F
5.6480e-07 1.2799e-12 0.0000e+00 5.0934e-26 1.9490e+03 S
2.9860e-05 9.2081e-12 0.0000e+00 5.3430e-26 1.9170e+03 S
4.3941e+02 1.8201e-08 2.9399e-03 5.3735e-27 9.9525e+01 F
6.4694e-06 4.1864e-12 6.4833e-08 1.4553e-29 2.2216e+02 F
1.3399e+01 8.6528e-09 9.3237e-05 1.7645e-26 2.3374e+02 F
2.3731e+02 2.2663e-08 2.0419e-03 6.4557e-27 9.0732e+01 F
1.9926e+02 9.9551e-09 2.0959e-03 4.4600e-27 8.6655e+01 F
1.4070e-05 2.9179e-12 6.9507e-09 8.7456e-27 1.0872e+03 F
3.4019e-02 2.1938e-10 4.8151e-07 8.7618e-27 1.0659e+03 F
5.9668e-07 1.5335e-12 5.6844e-10 7.2400e-27 1.1954e+03 F
2.6923e-04 2.6628e-11 0.0000e+00 5.9978e-26 1.8146e+03 S
5.0796e-13 1.2320e-13 3.5764e-10 9.8137e-32 8.1548e+02 F
1.1210e+01 1.0881e-08 8.0474e-05 2.1755e-26 4.8124e+02 F
7.3368e-06 1.7779e-12 4.9243e-09 9.3306e-27 1.0509e+03 F
1.7117e+01 5.9316e-09 1.0908e-04 2.2402e-26 2.3559e+02 F
1.1745e-15 8.1429e-18 8.2773e-14 9.3062e-27 1.0533e+03 F
1.3028e-02 6.8257e-10 0.0000e+00 6.8873e-26 2.7174e+03 S
2.2370e+02 1.2530e-08 2.4890e-03 5.0479e-27 8.5659e+01 F
1.5314e+01 9.3851e-09 9.4023e-05 2.1628e-26 2.9740e+02 F
3.1211e-09 2.7676e-14 1.6654e-10 7.1151e-27 1.2059e+03 F
6.6707e+01 5.4919e-08 3.3286e-04 7.4806e-27 1.0473e+02 F
1.2738e+01 8.1370e-10 9.6610e-05 1.7990e-26 2.3076e+02 F
3.5370e-23 2.0660e-17 1.5469e-13 2.0334e-35 1.9606e+02 F
1.2056e+00 1.4679e-11 6.1973e-06 3.1672e-28 1.4050e+02 F
4.7358e+02 1.4784e-08 2.0934e-03 5.1744e-27 1.1743e+02 F
2.4484e+00 1.3518e-08 2.7552e-05 1.5973e-26 1.0534e+03 F
3.8913e+02 1.2843e-08 1.3357e-03 5.0191e-27 1.3861e+02 F
1.1189e-14 1.7486e-19 3.3112e-13 8.2883e-27 1.1167e+03 F
2.3866e+01 4.2869e-09 2.5239e-04 1.8538e-26 1.7951e+02 F
5.1093e-01 2.2496e-10 2.5010e-06 2.4493e-27 4.1981e+02 F
1.3526e+02 1.5498e-08 4.0542e-03 9.5829e-28 8.2486e+01 F
3.5947e+00 1.3939e-08 6.0924e-06 1.1469e-26 5.8782e+02 F
1.2658e-07 3.0755e-12 1.8309e-08 4.0091e-30 2.7529e+02 F
4.5129e-16 1.0407e-12 1.6645e-10 3.8384e-35 1.3019e+02 F
3.7961e+01 1.3232e-08 2.4084e-03 4.3500e-28 7.3625e+01 F
7.2899e+00 2.1911e-08 4.0963e-05 6.9545e-27 2.1663e+02 F
3.2642e-02 5.3236e-11 9.0108e-07 6.0014e-28 4.6046e+02 F
1.1345e-16 5.2003e-17 2.1306e-11 5.5548e-33 4.6736e+02 F
3.1865e-04 2.6242e-11 0.0000e+00 6.6598e-26 1.7188e+03 S
5.2165e+01 1.0242e-08 3.1820e-03 5.7446e-28 7.5392e+01 F
7.3870e+01 1.7176e-08 1.0074e-03 2.0914e-27 8.2216e+01 F
6.1428e+00 2.3093e-08 1.3553e-02 2.5976e-27 1.5092e+01 F
7.2473e+01 2.9650e-08 1.5045e-03 3.5536e-28 9.2329e+01 F
2.9745e-09 9.6214e-14 9.9445e-12 9.4381e-27 1.0457e+03 F
5.0565e+01 5.9398e-09 2.9615e-03 5.3432e-28 7.7392e+01 F
3.6936e-15 2.5037e-17 9.6249e-14 1.1588e-26 9.4283e+02 F
4.1903e+00 5.4073e-09 1.6933e-05 1.3532e-26 4.8245e+02 F
1.0539e+02 1.0516e-08 4.2404e-03 8.1499e-28 8.5662e+01 F
3.9940e-22 9.0664e-23 6.4002e-17 8.1094e-27 1.1290e+03 F
1.2930e+01 2.4987e-09 1.1908e-04 1.5277e-26 1.9456e+02 F
6.6526e-14 2.5705e-16 3.6169e-13 9.0674e-27 1.0672e+03 F
2.2107e-07 7.4908e-13 0.0000e+00 5.4044e-26 1.8915e+03 S
1.3276e+01 3.9617e-09 8.5120e-05 1.8509e-26 2.6268e+02 F
2.1709e-18 1.6331e-19 4.3939e-15 8.2645e-27 1.1183e+03 F
6.8090e-03 1.7836e-10 8.4967e-08 7.3568e-27 1.1756e+03 F
3.1462e+01 7.2896e-10 1.3872e-04 7.4911e-28 1.1785e+02 F
5.3550e-03 2.3634e-10 0.0000e+00 5.5563e-26 2.1320e+03 S
2.3805e+01 2.9298e-09 1.9158e-04 1.9769e-26 1.8380e+02 F
1.1392e-04 2.0214e-11 3.6722e-08 9.7174e-28 7.7253e+02 F
2.4255e-10 2.2364e-14 0.0000e+00 5.9350e-26 1.8049e+03 S
8.9374e+01 1.5343e-08 1.3749e-03 1.2325e-27 8.1884e+01 F
2.9475e-08 1.7018e-13 2.5721e-10 8.8109e-27 1.0825e+03 F
1.1786e-11 5.4970e-15 0.0000e+00 5.3642e-26 1.8990e+03 S
5.3127e-10 2.9207e-14 0.0000e+00 6.6714e-26 1.7017e+03 S
6.8448e-05 7.4460e-12 0.0000e+00 9.7958e-26 1.4067e+03 S
6.4798e-03 1.1116e-10 1.6298e-07 7.7528e-27 1.1665e+03 F
8.9097e-01 2.1499e-08 6.7718e-06 1.3053e-29 1.3982e+02 F
1.1819e-18 1.5079e-15 6.1426e-11 1.1404e-35 1.2127e+02 F
4.4831e-03 5.6986e-12 1.8897e-07 1.0059e-26 1.0182e+03 F
1.8027e+01 3.8155e-09 1.7053e-04 1.8640e-26 1.8789e+02 F
8.0473e-09 1.0588e-13 1.2240e-10 8.4349e-27 1.1068e+03 F
6.0626e-07 1.3978e-12 0.0000e+00 4.8642e-26 1.9981e+03 S
1.8223e-04 3.0504e-11 0.0000e+00 4.3362e-26 2.1521e+03 S
2.1566e-09 5.4358e-14 0.0000e+00 7.1835e-26 1.6395e+03 S
4.8002e-07 1.1838e-12 0.0000e+00 5.0787e-26 1.9518e+03 S
2.4125e+02 1.0268e-08 2.3188e-03 5.6073e-27 8.8395e+01 F
5.1630e+01 1.0432e-08 3.0389e-03 5.4833e-28 7.7099e+01 F
3.5610e+00 8.2446e-10 1.3847e-05 8.1080e-27 3.3359e+02 F
1.4661e+01 3.6559e-09 9.8062e-05 2.0843e-26 2.6382e+02 F
2.4922e-02 2.1038e-10 3.2579e-07 9.4553e-27 1.0672e+03 F
1.2364e+02 2.0913e-08 5.1996e-04 1.0694e-26 1.1715e+02 F
2.8366e-14 2.2940e-17 4.5002e-13 8.9779e-27 1.0726e+03 F
4.5996e-01 1.9678e-09 4.4615e-06 1.1009e-26 9.9978e+02 F
1.4024e-08 2.2650e-13 0.0000e+00 4.5701e-26 2.0592e+03 S
9.8519e+00 4.5221e-09 6.6416e-05 1.6642e-26 3.7912e+02 F
1.1591e-07 7.7237e-15 1.0504e-09 8.3279e-27 1.1138e+03 F
7.5847e-07 1.1235e-12 0.0000e+00 6.6063e-26 1.7119e+03 S
3.2166e-07 9.3823e-13 0.0000e+00 5.2241e-26 1.9242e+03 S
2.9258e-27 4.4028e-18 9.3065e-14 1.6715e-38 1.0513e+02 F
1.4158e-04 3.0321e-12 3.3955e-07 2.3094e-29 1.7873e+02 F
2.0295e-09 2.3025e-14 1.3552e-10 7.0278e-27 1.2134e+03 F
6.2526e-09 1.2535e-13 0.0000e+00 5.4155e-26 1.8895e+03 S
3.4141e-07 5.8991e-13 1.1077e-09 7.7718e-27 1.1532e+03 F
2.1102e+01 3.0941e-09 1.1467e-04 1.7186e-26 1.0381e+02 F
1.3194e-03 1.2267e-11 8.8959e-08 9.5333e-27 1.0507e+03 F
2.4629e-15 9.1217e-17 2.4874e-14 8.2064e-27 1.1223e+03 F
3.2166e-09 5.6335e-14 8.5295e-11 8.7866e-27 1.0842e+03 F
1.9988e-03 1.0987e-10 0.0000e+00 5.5504e-26 1.9743e+03 S
1.4368e-06 2.3497e-12 0.0000e+00 4.5072e-26 2.0778e+03 S
2.5397e+01 8.0702e-10 1.0840e-04 1.4306e-26 1.1636e+02 F
1.8101e-09 6.3995e-14 0.0000e+00 5.6864e-26 1.8443e+03 S
4.5892e+01 1.4307e-08 2.5974e-03 4.6841e-28 7.8930e+01 F
3.2592e-05 1.0541e-11 0.0000e+00 4.9279e-26 1.9999e+03 S
4.7332e-01 1.7344e-09 4.2453e-06 1.1007e-26 9.4444e+02 F
1.0881e-17 1.4558e-19 1.1298e-14 7.5165e-27 1.1731e+03 F
7.2558e-09 1.2667e-13 0.0000e+00 5.7469e-26 1.8339e+03 S
1.6409e-04 2.3390e-11 0.0000e+00 5.2607e-26 1.9491e+03 S
2.7019e-16 1.2103e-17 3.5238e-14 8.1008e-27 1.1296e+03 F
2.3683e-16 2.2279e-17 1.4059e-14 8.6039e-27 1.0958e+03 F
7.5812e-09 1.0778e-13 1.4324e-10 7.5937e-27 1.1670e+03 F
4.9533e-01 5.5520e-11 2.0920e-06 1.5630e-27 2.4834e+02 F
3.9394e+01 1.3398e-08 2.3560e-03 4.2521e-28 7.6295e+01 F
5.1453e-16 1.6011e-15 4.8006e-10 9.0741e-35 1.0275e+02 F
4.8654e+00 2.0531e-10 1.7985e-05 8.0703e-27 1.2571e+02 F
4.4387e-11 1.0498e-14 0.0000e+00 5.4436e-26 1.8848e+03 S
1.9182e+02 2.4878e-09 9.1528e-04 1.6890e-26 1.1069e+02 F
1.7572e-01 1.2241e-09 2.0721e-06 5.5524e-28 5.4296e+02 F
1.6721e+00 1.3284e-08 3.6199e-06 1.2158e-26 9.0907e+02 F
2.7821e-06 2.2096e-12 1.1859e-09 9.7887e-27 1.0233e+03 F
4.0570e+00 4.1871e-08 1.5050e-06 2.1314e-28 1.9548e+02 F
1.4860e+01 4.7027e-09 1.3831e-04 1.6557e-26 1.9143e+02 F
1.4753e-12 1.2598e-15 2.6452e-12 7.1314e-27 1.2046e+03 F
8.5826e-10 5.6088e-12 1.5070e-09 2.9504e-31 2.4124e+02 F
1.6941e+01 2.8023e-09 7.3554e-05 2.1859e-26 2.3289e+02 F
1.3987e+01 5.7464e-09 8.9600e-05 2.3049e-26 3.6201e+02 F
3.7306e+02 1.4383e-08 1.5192e-03 4.6187e-27 1.2260e+02 F
4.1853e+01 1.7292e-08 2.4093e-03 4.3454e-28 7.8142e+01 F
1.0564e+01 4.7674e-08 1.5951e-05 3.9557e-27 2.6396e+02 F
6.7660e-07 1.3067e-12 1.0003e-09 7.4340e-27 1.1793e+03 F
5.3354e+01 1.0565e-08 2.9592e-03 5.3351e-28 8.0013e+01 F
3.8493e+02 1.5111e-08 2.9860e-03 4.0787e-27 9.5529e+01 F
4.0738e-09 7.2465e-14 8.6601e-11 8.6262e-27 1.0943e+03 F
7.3339e+00 1.5961e-08 4.6187e-05 7.8587e-27 2.1687e+02 F
4.5775e+02 1.4315e-08 3.7684e-03 2.8668e-27 9.6961e+01 F
5.0342e-11 1.0165e-14 0.0000e+00 5.9468e-26 1.8028e+03 S
1.7384e-04 8.0850e-15 2.3491e-07 2.4327e-29 1.7651e+02 F
4.4532e-06 3.2567e-12 0.0000e+00 5.6446e-26 1.8564e+03 S
2.3900e-03 1.0848e-10 0.0000e+00 6.2608e-26 1.8410e+03 S
8.5089e+00 3.0074e-08 4.7165e-05 3.0896e-29 1.2141e+02 F
1.3973e+01 2.7909e-11 9.5382e-05 2.1104e-26 2.7918e+02 F
