#IC86events[1/year]	sigpSI[pb]	sigpSD[pb]	sig*v[cm^3/s]	mdm[GeV]	DM[Fermion|Scalar]
7.0501e+01 1.2523e-08 1.9904e-03 5.2122e-28 8.1143e+01 F
4.9846e+01 7.7337e-09 2.9427e-03 5.3093e-28 7.6987e+01 F
3.9766e+01 3.0051e-08 2.5141e-03 4.5414e-28 7.3666e+01 F
9.2638e+00 6.6360e-09 6.6479e-05 1.7540e-26 4.5249e+02 F
5.3612e-14 3.6920e-16 1.2918e-13 9.0172e-27 1.0702e+03 F
1.8099e-04 1.2613e-11 2.2420e-08 8.7852e-27 1.0844e+03 F
1.7458e-20 5.0417e-20 4.2325e-16 7.0179e-27 1.2145e+03 F
1.9357e-06 2.0785e-12 2.0091e-09 7.2678e-27 1.1929e+03 F
3.6259e+02 1.5029e-08 3.0387e-03 1.7773e-27 9.9047e+01 F
2.5865e-18 7.3542e-19 4.0233e-15 8.2123e-27 1.1219e+03 F
1.8832e-02 4.2736e-10 0.0000e+00 1.0507e-25 1.5549e+03 S
1.2396e+01 5.7624e-09 9.9732e-05 1.5868e-26 2.0906e+02 F
8.9898e-09 1.6819e-13 1.3455e-11 9.5288e-27 1.0407e+03 F
5.6435e+01 1.3155e-08 3.2926e-03 5.9404e-28 7.7541e+01 F
1.9086e-03 4.4172e-11 9.0054e-08 8.0694e-27 1.1322e+03 F
4.9155e-10 2.6770e-15 3.0907e-09 4.2209e-31 1.0001e+02 F
3.6226e+01 1.0364e-09 1.4682e-04 1.3797e-26 1.1996e+02 F
5.4660e-12 1.0455e-15 4.6477e-12 9.7168e-27 1.0306e+03 F
1.0272e-05 2.9395e-12 5.6099e-09 8.4783e-27 1.1047e+03 F
1.1175e-03 3.7337e-11 0.0000e+00 9.8775e-26 1.4083e+03 S
4.2874e+02 2.0395e-08 1.3080e-03 5.2804e-27 1.6042e+02 F
3.6801e-10 3.6621e-14 0.0000e+00 4.5721e-26 2.0576e+03 S
1.1228e-05 4.3024e-12 6.1202e-09 7.1609e-27 1.2028e+03 F
1.1463e+01 3.7658e-09 7.4829e-05 1.7882e-26 3.2621e+02 F
8.8305e-11 1.3551e-14 0.0000e+00 5.9113e-26 1.8085e+03 S
1.2727e-18 2.5618e-14 6.1584e-11 1.1251e-35 1.0725e+02 F
4.2021e+02 1.8030e-08 3.3479e-03 3.0601e-27 9.6684e+01 F
2.3131e-06 3.1082e-12 0.0000e+00 4.3510e-26 2.1168e+03 S
1.5378e-07 1.2528e-14 1.0719e-09 9.2439e-27 1.0568e+03 F
6.1443e-01 1.6487e-09 8.3267e-06 1.3832e-26 1.0354e+03 F
2.6576e+01 9.7479e-08 4.3573e-06 7.0545e-27 4.1689e+02 F
1.1010e-07 5.0409e-13 1.5284e-10 9.6829e-27 1.0310e+03 F
3.0069e+00 1.1187e-08 4.5019e-05 1.9590e-26 1.0679e+03 F
1.2746e+00 2.6301e-10 1.2490e-05 1.3398e-27 1.8752e+02 F
4.6292e-08 7.8503e-14 4.7168e-10 9.4357e-27 1.0459e+03 F
4.3107e-03 1.9605e-10 1.0868e-06 1.5131e-29 1.4279e+02 F
2.4749e-03 6.0384e-11 9.6219e-08 7.9288e-27 1.1565e+03 F
4.3071e+01 8.3757e-09 2.7567e-03 4.9796e-28 7.3269e+01 F
1.4259e+01 2.7589e-09 1.0683e-04 1.9822e-26 2.3011e+02 F
3.2437e-01 3.1229e-10 3.2179e-06 7.7705e-28 3.3873e+02 F
6.8827e-06 3.7860e-12 0.0000e+00 6.0167e-26 1.7936e+03 S
3.6638e+02 9.4767e-09 1.7886e-03 6.5104e-27 1.1105e+02 F
1.2418e+02 1.3120e-08 3.7069e-03 8.4403e-28 8.3874e+01 F
6.1985e-11 1.5871e-14 0.0000e+00 4.3515e-26 2.1098e+03 S
2.9186e-03 2.2478e-11 1.5796e-06 6.4949e-30 1.5740e+02 F
9.2620e-17 1.8894e-17 1.4658e-15 8.6486e-27 1.0930e+03 F
1.1964e+01 1.7932e-09 5.8356e-05 1.8836e-26 3.0288e+02 F
4.4023e-23 2.5275e-22 2.3595e-17 7.2845e-27 1.1918e+03 F
1.0435e-02 1.2485e-10 2.6323e-07 7.3022e-27 1.1713e+03 F
1.2846e+01 6.8749e-10 3.8718e-05 1.1558e-26 1.5160e+02 F
6.7606e-11 1.2929e-14 0.0000e+00 5.4540e-26 1.8829e+03 S
1.1555e+01 3.5238e-09 7.6621e-05 1.9814e-26 3.7274e+02 F
1.1032e-16 2.3567e-17 1.0797e-15 7.7555e-27 1.1547e+03 F
3.5138e-03 1.8787e-10 0.0000e+00 5.0363e-26 2.2401e+03 S
